date,region,course,going,off_time,distance,race_name,horse_name,field_size,draw,age,lbs,form,jockey,owner,race_class,rpr,sex,sire,dam,spotlight,comment,trainer,trainer_14_days,trainer_rtf,ts,stable_tour,stats,medical
2026-05-23,IRE,Curragh,Good,13:20,6f,Tally Ho Stud Irish EBF (C & G) Maiden,Sergei Diaghilev,8,5,2,131,,Ryan Moore,Westerberg & Mrs Magnier & M Tabor & D Smith,,,colt,Wootton Bassett,Embellish,"Wootton Bassett colt; second foal; brother to Group-placed 1m1f 2yo winner Endorsement (RPR 107), also Group-placed over 1m2f at 3 in 2026; dam unraced sister to winners Johannes Vermeer (7f 2yo Group 1; runner-up in Melbourne Cup) and Elizabeth Browning (1m1f Group 2); trip looks on the short side on his breeding but Ballydoyle first-choice on jockey bookings.",Brother to Group-placed 1m1f 2yo winner Endorsement; Moore's pick,A P OBrien,"{'runs': 46, 'wins': 7, 'percent': 15}",74,,[],,[]
2026-05-23,IRE,Curragh,Good,13:20,6f,Tally Ho Stud Irish EBF (C & G) Maiden,Folsom Blues,8,3,2,131,,Dylan Browne McMonagle,Al Shiraaa Racing Limited,,,colt,Blue Point,Liwa Palace,"Blue Point colt is closely related to 7f AW 2yo winner Greek Mythology (RPR 99), half-brother to 7f/1m winner Atlantic Coast (inc 2yo Group 3/Australia; 104); dam Group-placed 9.5f winner (95), half-sister to useful 1m2f winner Groundbreaking; yard in top form so newcomer has to be respected.",Blue Point colt related to some decent 2yos; yard in top form so has to be respected,Joseph Patrick OBrien,"{'runs': 60, 'wins': 10, 'percent': 17}",63,,[],,[]
2026-05-23,IRE,Curragh,Good,13:20,6f,Tally Ho Stud Irish EBF (C & G) Maiden,Bold Commander,8,2,2,131,,Wayne Lordan,Derrick Smith & Mrs John Magnier & Michael Tabor,,,colt,No Nay Never,Alphabet,"No Nay Never brother to 5f/6f 2yo winner First Approach (RPR 89), half-brother to winners Lisboa (1m2f; 84) and Sound It Out (Australian 7f-1m); dam Group-placed 6f winner (109), closely related to useful 7f/1m winner Aerion Power; seemingly Ballydoyle second-choice but don't rule out.",Brother to 5f/6f 2yo winner First Approach,A P OBrien,"{'runs': 46, 'wins': 7, 'percent': 15}",74,,[],,[]
2026-05-23,IRE,Curragh,Good,13:20,6f,Tally Ho Stud Irish EBF (C & G) Maiden,Switching Sides,8,6,2,131,,Shane Foley,Newtown Anner Stud Farm Ltd,,,colt,Kodiac,Zero Turn,"Kodiac colt bought back for 52,000euros as a yearling; dam placed 1m3f/1m4f (RPR 76), half-sister to 6f 2yo Group 2 winner Besharah; needs checking in the market on debut.","Kodiac colt, out of a Galileo half-sister to 6f 2yo Group 2 winner Besharah",Mrs John Harrington,"{'runs': 26, 'wins': 4, 'percent': 15}",73,,[],,[]
2026-05-23,IRE,Curragh,Good,13:20,6f,Tally Ho Stud Irish EBF (C & G) Maiden,Winnies Wish,8,4,2,131,,Gary Carroll,Derek Kierans,,,colt,Coulsty,Bonnefio,"Coulsty colt a 10,000euros foal and 35,000euros yearling; brother to 7f 2yo winner Madbadanddangerous (RPR 86), half-brother to winners Marvelosa (10.4f; 84) and Mulsanne (US 1m turf); dam unraced sister to 1m4f Listed winner, closely related to Gold Cup winner Courage Mon Ami; debutant respected from a yard with a decent recent 2yo winner.",Debutant respected from a yard with a decent recent 2yo winner,Gavin Cromwell,"{'runs': 45, 'wins': 6, 'percent': 13}",64,,[],,[]
2026-05-23,IRE,Curragh,Good,13:20,6f,Tally Ho Stud Irish EBF (C & G) Maiden,South Dakota,8,1,2,131,,Jack Cleary,M Tabor & D Smith & Mrs J Magnier & Westerberg,,,colt,St Marks Basilica,Palace,"St Mark's Basilica half-brother to winners High Definition (1m 2yo inc Group 2, RPR 120), Innisfree (1m Group 3/7f 2yo; 110) and Royal Aide (1m3f/11.7f Flat, 86; 3m/3m1f hurdle); dam 1m and 8.4f (Listed) winner (104); seemingly the Ballydoyle third-choice but worth a look for future reference.",Half-brother to 2yo Group 2 winner High Definition,A P OBrien,"{'runs': 46, 'wins': 7, 'percent': 15}",74,,[],,[]
2026-05-23,IRE,Curragh,Good,13:20,6f,Tally Ho Stud Irish EBF (C & G) Maiden,I Ready,8,8,2,131,,Robert Whearty,Philip Carney,,,gelding,Invincible Army,Bask In Glory,"Invincible Army gelding; 10,000 yearling; second foal; dam runner-up 6f 2yo (RPR 74), half-sister to winners Insignia Of Rank (1m Listed) and Mayleaf Shine (useful 5f inc 2yo); speedily bred sort but this likely a strong maiden.",Speedily bred sort but this likely a strong maiden,Paul W Flynn,"{'runs': 16, 'wins': 2, 'percent': 13}",50,,[],,[]
2026-05-23,IRE,Curragh,Good,13:20,6f,Tally Ho Stud Irish EBF (C & G) Maiden,Dhikola,8,7,2,131,0,Ronan Whelan,Walerc Limited/M J Wasylocha/Tony Cantwell/Paul J Nolan,,,colt,Ardad,Laurel Wreath,"Ardad colt cost 45,000GBP as a yearling; third foal; closely related to Spanish 1m winner Running Hot, half-brother to 6f turf 2yo/1m AW winner Priapos (RPR 84); dam 5.7f winner (76), half-sister to winners Global Applause (5f Listed inc 2yo) and Auditor (useful 5f-7f inc 2yo); never recovered from bad start on recent Navan debut; best watched for now.",Never recovered from bad start on recent Navan debut; best watched for now,John S ODonoghue,"{'runs': 9, 'wins': 2, 'percent': 22}",44,,[],,[]
2026-05-23,IRE,Curragh,Good,13:55,1m4f,Sherry FitzGerald Country Homes Orby Stakes (Listed Race),Purview,10,3,4,136,-1522/,Colin Keane,Juddmonte Farms Inc,1,118,colt,Kingman,Variable,"Smart, lightly raced 4yo; never quite fulfilled Leopardstown's Derby Trial second this time last year although did end the campaign on a winning note in 1m2f Cork Listed in September in ready fashion; looks the type to make an even better 4yo upped to this trip; very interesting player.",Smart last year and promises to make an even better 4yo upped to this trip; big player,D K Weld,"{'runs': 9, 'wins': 0, 'percent': 0}",56,94,[],,[]
2026-05-23,IRE,Curragh,Good,13:55,1m4f,Sherry FitzGerald Country Homes Orby Stakes (Listed Race),Nyra,10,4,4,133,-32312,Dylan Browne McMonagle,Scott C Heider,1,116,filly,Isfahan,Nightlight Angel,"German import, having been bought for 875,000euros at Arqana in December; 1-9 for previous yard, winning Group 3 in Hamburg over 1m3f (good) and better form when beaten a neck in Group 2 at Baden-Baden and final start when third in 1m4f Group 1 Gran Premio del Jockey Club in Milan; McMonagle's choice of Joseph O'Brien's quartet so has to be respected.",Ex-German trained filly; Group 1-placed in Italy; choice of Joseph O'Brien's four,Joseph Patrick OBrien,"{'runs': 60, 'wins': 10, 'percent': 17}",63,,"[{'horse': 'Nyra', 'horse_id': 7426955, 'quote': ""She was placed in the German Oaks last year and has some nice form lines. We like what we see of her and we're aiming to start her around the second half of May. 22-04-26""}]",,[]
